Тема обращения,Текст обращения,Время обращения,Имя пользователя - автора обращения,Регион составителя обращения,Текст ответа,Время ответа,Имя пользователя - автора ответа,Оценка клиента
Неправомерное начисление штрафа,"12.10.2022 заключен автокредит №04******8414.27.10.2022 я отправил документы (СТС; ЭПТС; КАСКО) на адресс, который в памятке написал менеджер банка.29.10.2022 я позвонил в банк для уточнения статуса,сказали ждать.03.11.2022 пришло сообщение о начислении штрафа. Говорил с менеджером, оставил обращение CB031122204716 на сайте.Представители банка, у вас системная проблема, выполните анализ, решите проблему.Прошу разобраться с неправомерным начислением штрафа.",04.11.2022 11:58,user-486011841525,Санкт-Петербург,"Добрый день!Согласно п. 12 Индивидуальных условий договора, за не предоставление/несвоевременное предоставление оригинала ПТС/выписки ЭПТС/копии СТС, Банк вправе применить штрафные санкции.Вы предоставили копию СТС 28.10.2022, то есть не позднее 21 календарного дня с даты заключения Договора.По итогам проведенного Банком расследования и анализа обстоятельств, изложенных Вами в обращении, Банком было установлено, что ПТС предоставлен Вами своевременно.Штрафные санкции за несвоевременное предоставление ПТС начислены не будут.Срок обработки обращения зависит от сложности запроса. В случаях, когда для подготовки ответа необходимо дополнительное расследование, срок обработки может быть увеличен.Таким образом, независимо от возникшей проблемы, документы могут рассматриваться до десяти рабочих дней.Также с Вами связался  сотрудник Банка  07.11.2022  для предоставления дополнительных пояснений по ситуации.С уважением,Управление клиентского сервиса«Сетелем Банк» ООО",2022-11-07 08:39:51,Сетелем Банк,1
Неправомерное увеличение процентов по кредиту,"Добрый день!Автокредит по договору №041…6439 от 27.08.2022. Ситуация с загрузкой залоговых документов не новая, как видно из отзывов. Через приложение в установленные сроки были загружены фото документов, необходимые для залога, о чем пришло уведомление на почту: «…срок рассмотрения 3 дня». Прошло дней пять, подтверждение о приеме/отказе я не получил. Повторил загрузку документов, пришло смс: «загрузите обе стороны ПТС и СТС», загрузил тот же комплект еще раз, пришло смс: «загрузите обе стороны СТС» - загружаю опять полный комплект.Пришло уведомление о повышении процентной ставки в связи с неисполнением сроков. Перевел все файлы уже в pdf - формат, входящий в список разрешенных к загрузке банком – файл не принимается. Догадался запаковать все в архив и в каждое окно загрузки страницы документа добавлял полный архив. После этого пришло сообщение о принятии документов.Через операторов в банке узнаю, что процентную ставку понизят только со следующего периода. Оператор составляет жалобу по моей просьбе CL-6140743, в результате ответ, что ставка понизится только со следующего периода. Через сайт банка отправляю повторную жалобу CL-6141697 с разъяснением сложившейся ситуации. Но претензию словно никто и читать не стал, пришел тот же ответ.Каждый раз я отправлял один и тот же комплект документов, очевидно, что приложение не исправно, почему я должен быть оштрафован из-за некорректной работы приложения? Почему я и многие другие клиенты должны тратить свои нервы и время на исправление ошибок банка или это просто желание найти причину для лишнего заработка?Я ответственный заемщик, всегда исправно выполняю свои обязательства по кредиту, никогда мне не приходилось писать жалобы на какой-либо банк.Я прошу Банк разобраться с неправомерным начислением процентов. В противном случае я вынужден отстаивать свои права в судебном порядке.",03.11.2022 18:27,user8354534,Москва,"Уважаемый Клиент!Сразу хотим отметить, что в соответствии с п. 17 Индивидуальных условий Договора Заемщик обязан в течение 30 календарных дней, с даты заключения Договора направить в Банк через форму обратной связи на сайте Банка пакет документов о приобретенном автотранспортном средстве: ПТС/выписка из ЭПТС, СТС, договор купли-продажи.В случае нарушения указанных сроков, а также приобретения автотранспортного средства Б/У, Банк вправе повысить процентную ставку согласно Индивидуальным условиям Договора.Вы направляли документы на регистрацию залогового автомобиля 20.09.2022. Документы не были приняты, в связи с тем, что не были выполнены условия п. 10 Индивидуальных условий Договора, а именно отсутствовала страница СТС с лицевой стороны, о чем Банк направил Вам смс на Ваш контактный номер.После чего, Вами повторно были направлены документы 30.09.2022, которые также не были приняты, поскольку в обращении отсутствовала страница СТС с лицевой стороны. По факту обработки запроса, Банк направил Вам смс на Ваш контактный номер.Поскольку корректные документы для регистрации залога в системе Банка не были предоставлены Вами в установленные Договором сроки, процентная ставка по Договору была увеличена с 08.10.2022 года и составила 21.90%.Корректный пакет документов был Вами предоставлен 10.10.2022, то есть по истечению 30 календарных дней.Дополнительно Банк сообщает, что в соответствии с п. 17 Индивидуальных условий Договора возврат процентной ставки в значение 11.90% произойдет с 08.11.2022.По вопросу работы приложения, сообщаем:Наше приложение работает в штатном режим, технических ошибок не было выявлено.Будем рады, если нам удалось ответить на Ваш вопрос.С уважением,Управление клиентского сервиса«Сетелем Банк» ООО",2022-11-07 09:27:46,Сетелем Банк,1
Ода о страховке,"Доброго времени суток, уважаемые мои.Хочу поведать вам историю о том, как на протяжении 2х лет, я пыталась оформить продление КАСКО в этом Банке, по крайней мере они себя так называют.На протяжении 2х лет каждый раз при продлении страховки у нас с сотрудниками Банка начинались брачные танцы. Они уверяли меня, что мне нужно платить штраф. Я уверяла их, что я отправила им всё данные о том, что КАСКО у меня оформлено.Они обещали перезвонить, они обещали рассмотреть заявку за 3 дня, но каждый раз что-то шло не так.И вот сегодня, когда шёл 10 день после того как мне сказали, что через 3дня мне обязательно перезвонят, со мной обязательно свяжутся специально обученные люди - я вынуждена констатировать факт того, что в этом Банке, как они себя называют - совершенно не слышали о том, что она дворе 22й год, и что в мире существует клиентоориентированность.Чем же закончится наша история с оформлением КАСКО? Узнаете в моём следующем отзыве.Надеюсь специально обученные люди данного заведения увидят, прочитают, осознают, и свяжутся со мной в самое ближайшее время. Я - жду...!",28.10.2022 18:37,user-698610903546,Москва,"Уважаемый Клиент!Мы внимательно изучили Вашу ситуацию.Документы были приняты 28.10.2022 и пролонгированы на очередной срок.Хотим отметить, что срок обработки обращения регламентируется внутренними процедурами Банка.При несвоевременном предоставлении/непредоставлении в Банк пролонгированного на очередной срок полиса КАСКО, в соответствии с п. 4 Индивидуальных условий Договора, Банк вправе увеличить не более чем на 2 процентных пункта процентную ставку.Учитывая, что Вами в страховом периоде 2022-2023 гг. были исполнены обязанности, указанные в п. 9, 10 Индивидуальных условий Договора, сообщаем Вам о сохранении процентной ставки в размере 14.50 % в текущем страховом периоде.Дополнительно с Вами связался сотрудник Банка 31.10.2022 для предоставления дополнительных пояснений по ситуации.Надеемся на Ваше понимание и дальнейшее сотрудничество.С уважением,Управление клиентского сервиса«Сетелем Банк» ООО",2022-10-31 15:58:25,Сетелем Банк,1
Штрафы за непредоставление СТС,"Добрый день!Моя история не нова. Автокредит 04*****37. Оформлен 14.08.2022.  16.08.2022 через приложение были загружены фото документов, на почту пришло уведомление, что срок рассмотрения 3 дня.24.08.2022 пришла СМС, что СТС не читаема. 26.08.2022 загрузил документы через приложение снова, теперь никаких СМС не было и в приложении горит зеленая галочка.07.09.2022 мне выставляют штраф на 10 000 за непредоставление документов, из приложения меня выкинуло (пришлось заново вводить все данные), зеленые галочки в меню ""Загрузка документов"" пропали.09.09.2022 повторно отправляю документы через уже сайт, 10.09.2022 оставляю на сайте претензию CL-6138045 и 18.09.2022 пришел ответ, что была предоставлена только одна сторона СТС-я загружал 2 фото, каждой стороны. Сейчас отправил сканы через форму обратной связи на сайте.Все скриншоты из приложения готов предоставить.Складывается впечатление, что банк, сайт банка и приложение банка никак не связаны между собой и вся эта схема рассчитана на обязательное удержание этих 10 000 под любыми предлогами.  Разнообразие поводов для удержания можно проследить в отзывах к банку.Если жалоба не будет удовлетворена и штраф будет списан, то я буду вынужден составлять жалобу в ЦБ.",19.09.2022 11:46,cyxapuk.,Санкт-Петербург,Спасибо за отзыв. Давайте подождем от банка результаты проверки.07.10.22 Оценку и решение проблемы зачли.,2022-09-23 14:12:15,Администратор народного рейтинга,1
Ужасное обслуживание. Необоснованные штрафы,"Автодилер при продаже автомобиля, предложил воспользоваться автокредитом в Сетелем Банке. Если бы я тогда знала, сколько времени и нервов. По правилам банка, после постановки га учёт автомобиля ПТС надо сдать в банк. Автомобиль покупался 09.07.22, 28.07.22 я сдала ПТС представителю банка в Рольф Аэропорт. 03.08.22 мне поступило сообщение от банка, что за несданный ПТС мне назначен штраф 10000р. Я позвонила в банк, мне сказали оформить обращение на сайте Сетелем банка, приложить копию акта, и штраф отменят.09.09.22 у меня баланс ушёл в минус на 10000р, списали штраф. Позвонила в банк, опять попросили оставить обращение через сайт и вопрос решится в течении 48 часов. Так ничего и не решилось. Звонила ещё раз, теперь говорят ещё 5 дней надо подождать. Объясните,  пожалуйста  почему я должна тратить кучу времени на эти звонки и выяснения, если с моей стороны все сделано верно. Огромная просьба, решить этот вопрос в кратчайшее время. Это самый худший банк, ни с одним банком не было столько сложностей из-за вопроса который решается за минуту. Страшно себе представить что было бы если бы вопрос был посерьёзнее.",16.09.2022 13:54,user-35309910387,Санкт-Петербург,Спасибо за отзыв. Давайте подождём ответа банка по ситуации.,2022-09-21 16:06:00,Администратор народного рейтинга,1
Штрафные санкции,"9.08.22 оформлен кредит на покупку автомобиля в салоне на Станционной.21.09.22 в приложении загружены стс и птс. Получено сообщение от Сетелем :"" Документы загружены"". 31.08.22 ( 22 день от взятия кредита) пришло смс о наложении штрафа в 10000 в связи с отсутствием стс и птс. В тот же день, при звонке на горячую линию специалист уверяет меня, что документы не поступали! Отправляю повторно 31.08.22. Снова звонок на горячую линию, специалист уверяет , что документы от 21.08 не в полном объеме (стс с одной стороны), документы отправленные 31.08 так же не все в наличии. Дает адрес эл.почты, куда я в очередной раз все шлю.В общем за этот вечер я пообщался со многими , но так и не узнал1. Дошли ли все стороны, всех бумаг которые я вам посылал с 21.08?2. Почему еще 21.08 мне не пришло уведомления/звонка о отсутствии второй/третей/ четвертой и прочих сторон стс/птс3. На каком основании ко мне собираются применить штрафные санкции, если ( учитывая предыдущие отзывы) проблема в приложении?4. Сколько раз и по каким каналам я еще должен отправлять документы, чтобы ваши сотрудники их увидели?",02.09.2022 11:28,user-37369743590,Новосибирск (Новосибирская область),"Оценку зачли. Если банк решил вашу проблему, вы можете отметить это с помощью кнопки «Проблема решена»: текущая оценка пересчитается.",2022-09-08 17:31:16,Администратор народного рейтинга,1
Претензия на банк и представителя банка,"Хочу оформить претензию на сотрудника Сетелем Банка Т-ну Екатерину, которая обманом оформила страхование на автокредит.При отказе от страхования сотрудник банка сказал что банк в таком случае откажет в оформление кредита, хотя это не является причиной отказа.При этом сотруднику банка было сказано, что страхование добровольное и мы можем от него отказаться.Остался ужасный осадок после этого.Неужели так учат сотрудников банка оформлять страхование клиентам.Оформив претензию в Сетелем банк для возврата суммы страхования, банк отказал ссылаясь на, то что клиент сам всё подписал, но почему то не учёл тот факт что сотрудник обманом оформил услугу страхования.",27.08.2022 20:04,user-70689409876,Самара (Самарская область),"Добрый день!Мы видим, что ранее Вы уже обращались в Банк по данному вопросу. Ответ Банка был предоставлен в Личный кабинет Мой Банк.Хотим отметить, что в полном соответствии со ст. 421 ГК РФ, все услуги оказываются Банком исключительно в соответствии со свободным волеизъявлением клиентов. Условия Договора предусматривают возможность выбора дополнительных услуг, в том числе услуг по страхованию. Банк придерживается политики информирования Клиентов по всем вопросам, связанным с оформлением Договора.В ходе проверки нами было установлено, что при заключении Договора Вами была приобретена услуга Дилерского центра «Карта помощи на дорогах» (Договор № 246-А1-0000000007), которая не является страховой. Сотрудник Дилерского центра презентовал Вам указанную услугу. В ходе консультации с Вашего одобрения и с одобрения приглашенного Вами юриста, данная услуга была включена в заявление на кредит и оплачена Банком.Если Вы желаете отказаться от данной услуги, Вам необходимо обратиться к поставщику ООО «Сервис Ассист» с письменным заявлением о расторжении Договора № 246-А1-0000000007.Надеемся, комментарии внесли ясность в произошедшее и прояснили возникший вопрос. Будем рады получить от Вас комментарий о решении Вашего вопроса или изменении оценки в положительную сторону.С уважением,Управление клиентского сервиса«Сетелем Банк» ООО",2022-08-29 15:53:26,Сетелем Банк,1
"Осторожно, обман!","Салоном Рольф было предложено два банка с более-менее приемлемой процентной ставкой по автокредиту.  Услышав, что Сетелем банк имеет прямое отношение к Сбербанку- сразу согласилась, не стала подробно проверять по отзывам, о чем сейчас сильно пожалела.Согласно Кредитному договору я должна предоставить ПТС и СТС автомобиля банку в течение 21 дня после приобретения. Попробовала сделать это через сайт. Сайт работает плохо, ничего загрузить не получилась. Подъехала в офис банка лично с документами.Автомобиль я приобрела 19 июня 2022 года, а в офис приехала 07.07.2022г. Офис находится по адресу: СПб, пл. Александра Невского, дом 2. Это просто маленький кабинетик в большом бизнес-центре Москва  для двоих сотрудников.  Перед входом стоит баннер с названием банка. Искала. Спасибо- водитель такси помог. Поднялся со мной на 8-й этаж и сопроводил в офис.Работник банка отсканировал СТС, ПТС, договор купли-продажи автомобиля, мой паспорт. И заверил, что все в порядке, документы он принял, в сроки я уложилась. Дальше я попросила помочь загрузить на телефон личный кабинет банка для оплаты кредита без комиссии. Не получилось. Пришлось ему писать на бумажке что и как сделать мне самой при наличии устойчивого интернета. Ушла.А через неделю получаю смс от банка, что документы я не предоставила и мне начислен штраф в размере 10000 рублей. Дозвонилась на горячую линию, где мне насмешливым тоном ответил сотрудник, что МНЕ ЕЩЕ НАДО ДОКАЗАТЬ, что я приезжала в офис банка и подавала документы. И что штраф мне начислят все равно, но они, так и быть, еще раз проверят наличие документов и перезвонят мне в течение 3-х дней.Перезвонили минут через 15 с сообщением что да, запрос на подачу документов от меня 07.07.2022г поступал, но документов в базе нет. Мой визит в офис банка мне нужно доказать, а штраф уже назначен. На мои возражения представитель банка сообщил, что я могу написать жалобу на сайте и распрощался.Через личный кабинет, я написала жалобу с объяснением ситуации. Система проинформировала, что жалоба рассматривается в течение пяти дней. Есть скрин-шот с регистрационным номером документа, но документ не зарегистрирован в личном кабинете, через который подавался! В личном кабинете указано, что никаких обращений от меня не поступало. Класс!То есть вся система настроена на лохов, которые обязаны заплатить штраф в 10000 рублей??!!! Я потратила время, прервала отпуск, приехала в офис с документами и я теперь ДОЛЖНА ДОКАЗЫВАТЬ, что я там была и документы подавала??!! Складывается впечатление, что сотрудник намеренно их не ввел в систему! А какое другое объяснение здесь возможно?? Судя по отзывам- я такая не одна. Как жаль, что я поверила в честность банка, являющегося дочерним предприятием Сбера!И еще. Сотрудником горячей линии мне было сказано, что банк Сетелем не принимает наличные деньги в счет погашения кредита. У них нет касс. В банке нет касс?!! Только переводы на счет! Так что при желании погасить кредит досрочно, необходимо переводить деньги только по безналу, что крайне неудобно по многим причинам. Некоторые из них указаны в отзывах клиентов этого заведения. Касаемо данной ситуации, если она не поменяется должным образом- буду писать жалобы во все компетентные инстанции, а так же подам исковое заявление в суд.",18.07.2022 13:31,user-54778661069,Санкт-Петербург,"Добрый день!Мы проверили предоставленную информацию. Было установлено следующее.За июнь-июль 2022 сбоев в работе сайта не зафиксировано.07.07.2022 Вы обращались в Региональное представительство Банка г. Санкт-Петербург с целью предоставления документов. Документы были приняты сотрудником Банка.12.07.2022 Вы обращались в контактный центр Банка с целью уточнения факта поступления документов в Банк и статуса их обработки. Сотрудником Банка было озвучено, что срок обработки документов еще не вышел (3 рабочих дня) и Вам необходимо ожидать обратной связи от Банка.13.07.2022 Вы обращались в Банк с вопросом о статусе обработки предоставленных документов. Сотрудником Банка было озвучено, что документы в Банк не поступали, и Банку для рассмотрения вопроса о неначислении штрафных санкций требуется подтверждение о своевременной отправки. С Ваших слов сотрудником Банка было направлено обращение с просьбой рассмотрения вопроса о неначислении штрафных санкций.Ваше обращение было рассмотрено, ответ Банка был направлен в Личный кабинет Мой Банк 20.07.2022.Также с Вами связался сотрудник Банка для предоставления дополнительных пояснений по ситуации. В ходе разговора Вам было озвучено, что документы в Банк не поступали. Для урегулирования ситуации Вам было предложено направить в Банк копию СТС (с обеих сторон) или выписку из ЭПТС (все 3 страницы). Поле регистрации документа в системе Банка, Банком будут проведены мероприятия по неначислению штрафных санкций, поскольку была установлена своевременность предоставления документов в Банк.Надеемся, комментарии внесли ясность в произошедшее и прояснили возникший вопрос. Будем рады получить от Вас комментарий о решении Вашего вопроса или изменении оценки в положительную сторону.С уважением,Управление клиентского сервиса«Сетелем Банк» ООО",2022-07-26 15:27:10,Сетелем Банк,1
Второй раз портят кредитный рейтинг,"Скрин﻿Договор №04***1446, поставили просто так просрочку, причём не первый раз. Удивительный банк. Уже извинялись в обращении CL-6128801 от 05.05.2022 и вот опять приходится писать по той же проблеме.07.07.2022г был очередной платёж. Деньги поступили на счёт 07.07.2022г, скрин с номером операции прилагаю. Списали вы их 08.07.2022 и поставили мне просрочку. Рейтинг кредитной истории упал с 860 до 441 пункта.Требую убрать просрочку из кредитной истории и вернуть мне рейтинг 860, потому что это полностью ваша вина. Деньги на счету в день платежа были, почему вы их решили списать в другой день, я понятия не имею. Второй раз вам оценка 1.",09.07.2022 01:33,AmiGo161rus,Ростов-на-Дону (Ростовская область),"Добрый день!В ответ на Ваше обращение сообщаем, поскольку Вы не являетесь клиентом по договору, указанному Вами в дополнительной информации к отзыву, Банк вправе не раскрывать банковскую или иную охраняемую законом тайну, в связи с чем ответ по сути обращения был представлен клиенту.В связи с тем, что Вами были предоставлены сведения, позволяющие идентифицировать клиента, оформившего договор с Банком, Банком была проведена проверка обстоятельств, послуживших поводом для Вашего обращения, в том числе была запрошена выгрузка кредитной истории клиента.Банком повторно проведена проверка изложенных в запросе обстоятельств, по итогам которой ответ был предоставлен клиенту Банка.Надеемся нам удалось решить Ваш вопрос и Вы измените оценку в положительную сторону.С уважением,Управление клиентского сервиса«Сетелем Банк» ООО",2022-09-29 15:41:00,Сетелем Банк,1
Самый бесполезный банк и никчемный банк,"При оформлении автокредита,не сообщили,что в случае расторжения каско банк добавит 2 процента к ставке по кредиту, приложение в телефоне работает через раз,сотрудники колл центра не знают ничего,решила сделать ПДП автокредита,три раза звонила в колл центр,справку об остатке задолженности для ПДП можно получить только лично в офисе,который один в Москве,и еще с гарантийным письмом от автосалона при продаже авто,об этом стало известно уже в салоне,когда приехала на сделку,пришлось ехать в Москву и обратно в салон из-за одной справки,потратив на это 4 ч дороги.Нельзя было это сказать по телефону до даты сделки??!почему такое отношение к клиенту.В Приложении нельзя закрыть кредит досрочно,нельзя закрыть счет,нельзя закрыть карту,нельзя ничего!!!!все либо через почту России либо через офис в Мск.Вчера полностью погасила кредит,внесла сумму указанную в справке,в итоге в приложении кредит закрыт,а 6 тр висит на остатке,почему???звоню в банк,ожидание более 30 минут и сбросили,звоню ночью,извините ночью не работает программа по тех.причинам,звоните после 7:00!!! В приложении нельзя посмотреть историю зачислений на свой кред.счет от организаций!!!узнать почему у меня на счете остаток после ПДП не могу!!!закрыть счет можно кстати тоже только лично,или ждать 180 дней, или ищите на сайте бланк и присылайте почтой России!!!полный идиотизм и отвратительное отношение к клиенту.",07.07.2022 02:29,user-13958563931,Москва,"Добрый день!Банк провел проверку по изложенным Вами фактам. В ходе проверки было установлено следующее.При оформлении Договора сотрудником Банка была предоставлена полная информация по условиям Договора, в том числе была обозначена необходимость ежегодной пролонгации полиса КАСКО и предоставления его в Банк, а также последствия при нарушении данной обязанности - Банк вправе увеличить процентную ставку по Вашему Договору в соответствии с п. 4 Индивидуальных условий Договора.Банк для удобства и экономии Вашего времени, постоянно совершенствует дистанционные каналы обслуживания. Такие как:-Мобильное приложение Банка («Сетелем-Мой Банк 2.0»);-Телефонный Банк горячей линии;-раздел «Связаться с нами» сайта Банка www.cetelem.ru.Указанные способы связи помогут выяснить информацию по договору, включая поступление средств, заказать полное или частичное досрочное погашение по кредиту.Мобильное приложение Сетелем - Мой Банк 2.0 работает в штатном режиме. Сбоев зафиксировано не было.Относительно консультация сотрудников Банка - 02.07.2022 Вы обращались в Информационный центр Банка для заказа справки об остатке задолженности на да будущую дату. Сотрудником Банка была озвучена информация о том, что он направил запрос с уточнением возможности предоставления такой справки.В этот же день с Вами связался сотрудник Банка и сообщил, что нужный Вам документ заказывается день в день и заказать документ на будущую дату отсутствует возможность.04.07.2022 Вы повторно обратились в Банк за документом. Сотрудник Банка в ходе разговора направил документ на Ваш адрес электронной почты.В этот же день Вы обратились в Банк с заявлением о реализации автомобиля в счет погашения задолженности по Договору.Обращаем Ваше внимание, что в Общих Условиях Банка, Глава IV, Раздел 1, пункт 3.12.2 прописаны условия оформления и выполнения частичного/полного досрочного погашения, в том числе и обязанность Клиента об уведомлении Банка о намерении осуществить частичное/полное досрочное погашение Задолженности не менее чем за 30 календарных дней до предполагаемой даты досрочного погашения Задолженности.При этом, Банком в рамках клиентоориентированной политики был осуществлен заказ полного досрочного погашения на 06.07.2022, а также направлена справка о полной задолженности с реквизитами для ее погашения.05.07.2022 Вы обратились в Информационный центр Банка с целью консультации по вопросу поступившего от Банка смс с информацией о необходимости обеспечения денежных средств для исполнения заказа полного погашения. Данные смс стандартны и включают в себя информацию о необходимости внесения суммы ежемесячного платежа согласно графику платежей, поскольку заказ на полное, либо частичное погашение, согласно Общим условиям Банка, осуществляются не ранее чем через 30 календарных дней от даты уведомления Клиентом Банка о намерении досрочно погасить кредит.В ходе телефонных разговоров с сотрудниками Банка Вами не задавались вопросы относительно осуществления процедуры реализации автомобиля в счет погашения задолженности по Договору. Консультации сотрудников Банка были корректны.Информируем, что договор банковского счета может быть расторгнут:1. в соответствии с п. 1 Главы 4 Правил обслуживания счетов физических лиц, (которые являются неотъемлемой частью заключенного между Вами и Банком договора банковского счета) на основании письменного заявления Клиента либо его доверенного лица,2. в соответствии с п.2 Главы 4 Правил обслуживания счетов физических лиц в случае отсутствия операций по счету в течение 6 календарных месяцев и при наличии нулевого остатка по счету.По состоянию на сегодняшний день в Банк не поступало заявление на закрытие счета. При этом положительный остаток по счеты был Вами выведен со счета посредством СБП 07.07.2022.Положительный остаток образовался на Вашем счете в связи с возвратом Банком платы за неиспользованный Вами период пользования услугой «СМС-информатор» после исполнения заказа полного досрочного погашения задолженности по Договору.Обращаем Ваше внимание, что после закрытия Договора в Банке не зафиксировано звонков с Вашего номера.Надеемся, комментарии внесли ясность в произошедшее и прояснили возникший вопрос. Будем рады получить от Вас комментарий о решении Вашего вопроса или изменении оценки в положительную сторону.С уважением,Управление клиентского сервиса«Сетелем Банк» ООО",2022-07-14 10:18:40,Сетелем Банк,1
